pid,year,jbsect1,jbhrs1,age,e1,spelldur1,logw1,jbsect2,jbhrs2,j2u,j2j,u2j,e2,logw2,sex,educ,nonwhite
10016848,1994,1,30,35,1,23.736986,6.0230155,,,0,0,0,,,0,1,0
10017968,1995,6,60,50,1,36.263012,7.1453705,,,0,0,0,,,1,3,0
10020209,1994,1,40,53,1,28.273973,6.176331,,,0,0,0,,,0,1,0
10028005,2000,1,38,39,1,105.73151,7.3222632,1,39,0,1,0,1,,1,1,0
10057137,1999,1,40,35,1,89.457535,7.202848,,,0,0,0,,,0,2,1
10060111,1998,1,38,36,1,78.706848,7.3099618,8,26,1,0,0,0,7.2280173,1,3,0
10060146,1994,3,21,54,1,23.342466,7.0739679,,,0,0,0,,,1,3,0
10061649,1992,3,35,30,1,9.4027395,7.5930915,4,36,0,1,0,1,7.5065918,1,3,0
10067248,2003,3,18,49,1,132.26302,6.9586072,,,0,0,0,,,0,3,0
10071687,1992,1,37,31,1,.75616437,6.9511161,1,-8,1,0,0,0,,1,1,0
10079556,1994,3,-1,39,1,32.054794,6.7645464,-8,-8,1,0,0,0,,0,1,1
10080643,1995,1,45,47,1,44.350685,6.9255967,1,0,0,1,0,1,6.1505122,0,1,0
10087362,1993,5,41,51,1,16.89863,7.5949302,5,-8,1,0,0,0,,1,1,1
10089632,1992,1,40,48,1,11.704109,6.8289356,1,40,0,1,0,1,7.0294647,0,1,0
10094113,2003,1,38,58,1,132.78905,7.0593743,,,0,0,0,,,0,1,0
10099689,1992,1,-8,37,0,8.2849312,,1,-8,0,0,1,0,,1,1,0
10127666,1997,3,35,51,1,71.605476,7.3309546,3,35,0,1,0,1,7.7503834,0,1,0
10129901,1993,4,35,31,1,17.358904,6.757906,4,36,0,1,0,1,7.0142822,0,3,0
10129979,1993,1,40,29,1,18.641096,7.7994614,1,35,0,1,0,1,7.7482514,0,3,0
10141138,1995,1,37,36,1,40.142467,7.7956944,1,50,0,1,0,1,7.7857342,1,2,0
10143378,1994,1,-8,33,0,32.547947,,-8,-8,0,0,1,0,,1,1,0
10155651,2000,1,35,37,1,96.723289,7.7661963,1,40,0,1,0,1,,1,3,0
10162747,1996,1,38,34,1,47.046574,6.9973159,,,0,0,0,,,1,3,0
10162771,1993,3,35,30,1,23.210958,7.3548141,3,36,0,1,0,1,7.4197474,0,2,0
10179178,2003,8,41,39,1,131.93425,6.8972464,,,0,0,0,,,1,1,0
10185917,2000,4,40,57,1,94.553421,7.8691249,,,0,0,0,,,0,1,0
10188509,2003,1,22,56,1,132.32877,7.125082,,,0,0,0,,,1,3,0
10192603,2003,1,45,58,1,134.66301,7.9049153,,,0,0,0,,,1,1,0
10192972,1992,8,38,31,1,3.0575342,7.2495942,1,37,0,1,0,1,7.2717671,0,1,0
10193758,1992,3,17,36,1,12.361644,7.1820941,3,-8,1,0,0,0,,0,2,0
10197087,1992,3,-8,44,0,7.1999998,,3,-8,0,0,1,0,,0,3,0
10202706,2003,1,40,40,1,133.38083,7.062223,,,0,0,0,,,1,1,0
10209409,1994,5,40,49,1,23.572603,6.5251627,,,0,0,0,,,1,1,0
10210512,1994,-8,-8,37,0,25.775343,,,,0,0,0,,,1,1,0
10214992,1998,1,38,38,1,77.030136,7.4747853,1,40,0,1,0,1,6.9566088,0,1,0
10219501,1995,3,37,39,1,41.260273,7.4114184,3,37,0,1,0,1,7.4682798,1,3,0
10242988,1992,3,35,31,1,1.019178,7.1597548,3,35,1,0,0,0,7.1507363,1,3,0
10243011,1994,1,38,31,1,24,7.0728817,,,0,0,0,,,0,1,0
10273212,1992,2,36,40,1,11.408219,7.834249,6,37,0,1,0,1,7.7035069,1,3,0
10273999,1993,4,38,27,1,19.430138,7.1840296,4,38,0,1,0,1,7.1805024,0,3,0
10276572,1998,6,45,43,1,73.380821,7.2527103,,,0,0,0,,,1,3,0
10286306,1999,1,40,35,1,84.821915,7.5439496,,,0,0,0,,,1,3,0
10298967,1996,6,50,58,1,47.60548,6.9433331,,,0,0,0,,,1,1,0
10306897,1992,-8,-8,34,0,7.5945206,,6,15,0,0,1,1,6.0006857,1,2,1
10309047,2002,2,36,43,1,119.70411,7.4667029,,,0,0,0,,,1,3,0
10309071,1996,4,11,37,1,57.731506,6.8373036,4,34,0,1,0,1,7.3702369,0,2,0
10313516,2003,1,37,46,1,132.39452,7.4269056,,,0,0,0,,,1,2,0
10313559,1994,1,18,35,1,30.476713,5.3554564,1,35,0,1,0,1,6.5651999,0,1,0
10323627,1999,4,38,35,1,83.605476,7.4227257,,,0,0,0,,,0,3,0
10326987,1994,6,35,32,1,35.243835,7.2861066,-8,-8,1,0,0,0,,0,3,0
10338152,1996,1,37,38,1,52.767124,7.0144506,1,38,0,1,0,1,7.0918288,1,3,0
10341536,2001,1,40,36,1,106.52055,6.4968443,,,0,0,0,,,1,1,0
10343741,2003,5,38,48,1,133.34795,7.0550838,,,0,0,0,,,1,1,1
10347143,1996,1,40,57,1,54.443836,6.7030282,-8,-8,1,0,0,0,,0,1,0
10353887,1992,-8,-8,30,0,.42739725,,1,40,0,0,1,1,6.5686698,1,1,1
10356096,1992,8,16,51,1,6.871233,6.0161767,8,-8,1,0,0,0,,0,1,0
10358307,1994,2,37,31,1,30.838356,7.0158129,3,37,0,1,0,1,7.1153793,0,3,0
10358331,2003,1,37,38,1,130.81644,7.4753909,,,0,0,0,,,1,3,0
10363904,1997,3,36,43,1,59.309589,7.2755318,,,0,0,0,,,0,1,1
10366148,2003,1,25,52,1,133.64383,6.0142179,,,0,0,0,,,0,1,0
