e, G, j2j, j2u, logw1, spelldur1, u2j
1,0.63208,0,1,7.0701,28.5,0
1,0.084415,1,0,6.006,3,0
1,0.26339,0,1,6.4675,39.65,0
1,0.57596,1,0,6.9795,22.45,0
1,0.08048,1,0,5.99,42.8,0
1,0.52569,0,0,6.9006,60,0
1,0.081652,0,1,5.9948,8.45,0
1,0.96942,0,1,8.0233,8.3,0
1,0.94922,0,0,7.8774,60,0
1,0.29187,0,0,6.5203,60,0
1,0.48867,0,1,6.8429,44,0
1,0.217,1,0,6.3747,8.2,0
1,0.94395,0,0,7.8473,60,0
1,0.87323,0,1,7.5696,21.7,0
1,0.33866,1,0,6.6021,2.1,0
1,0.59364,0,1,7.0077,31,0
1,0.13297,1,0,6.1697,11.55,0
0,-1,0,0,-1,27.5,1
1,0.85469,0,0,7.5168,60,0
1,0.03435,1,0,5.7301,13.95,0
1,0.76627,0,0,7.3118,60,0
1,0.31672,1,0,6.5644,56.1,0
1,0.16134,1,0,6.2464,30.25,0
1,0.25006,0,1,6.4418,5.2,0
1,0.82659,1,0,7.4448,8.2,0
1,0.13924,1,0,6.1875,9.1,0
1,0.99384,0,0,8.4149,60,0
0,-1,0,0,-1,0.9,1
0,-1,0,0,-1,2.8,1
1,0.43263,0,0,6.7552,60,0
1,0.96435,0,0,7.9806,60,0
1,0.30303,0,0,6.5403,60,0
1,0.70944,0,1,7.2032,46.45,0
1,0.18969,1,0,6.3147,0.25,0
1,0.97635,0,1,8.0924,7.65,0
1,0.93347,0,0,7.7934,60,0
0,-1,0,0,-1,3.9,1
1,0.065374,1,0,5.9221,8.2,0
1,0.4963,0,1,6.8548,24.25,0
1,0.67473,0,0,7.1419,60,0
1,0.10057,1,0,6.0667,3.8,0
1,0.29321,1,0,6.5227,37.8,0
0,-1,0,0,-1,0.3,1
0,-1,0,0,-1,4.5,1
0,-1,0,0,-1,10.6,1
1,0.52829,0,1,6.9046,7.15,0
1,0.79245,0,1,7.3667,11.95,0
1,0.30421,0,1,6.5424,24.85,0
1,0.44057,1,0,6.7677,37.95,0
1,0.25107,1,0,6.4438,26.3,0
1,0.36552,1,0,6.6471,25,0
1,0.60475,0,1,7.0255,25.05,0
1,0.38985,0,1,6.6869,0.15,0
1,0.79702,0,1,7.3767,11.8,0
1,0.64849,1,0,7.0973,53.35,0
0,-1,0,0,-1,34.5,1
1,0.72348,0,1,7.229,56.7,0
1,0.029993,1,0,5.6925,0.5,0
0,-1,0,0,-1,0.6,1
1,0.9933,0,0,8.3965,60,0
1,0.30492,0,1,6.5436,1.35,0
1,0.93655,0,0,7.8085,60,0
1,0.038489,0,1,5.7623,4,0
0,-1,0,0,-1,5.05,1
0,-1,0,0,-1,5.75,1
1,0.52477,0,1,6.8991,46.35,0
1,0.34942,0,0,6.6203,60,0
1,0.90509,0,1,7.6748,8,0
